Avg_Area_Income,House_Age,Rooms,Bedrooms,Area_Population,Price,State
67946.71468,5,6,3,35197.94257,1043483.915,WI
90975.11327,5,8,6,44426.21365,1544379.748,DC
61885.54644,5,7,3,48726.9513,1352135.967,AE
69401.84722,7,8,3,29293.07405,1505727.431,AS
72969.12127,6,8,4,31755.72136,1416965.979,NY
75582.45976,6,7,4,31946.30387,1046721.976,SC
56241.22677,6,7,2,32745.36812,939040.0036,GU
79412.83547,6,7,3,17568.73376,1383031.332,TX
79618.23685,5,7,3,29636.50711,1072503.238,WV
67019.07405,6,7,6,24997.10871,1134397.758,HI
56063.48087,5,5,4,39129.2967,734827.508,NC
57077.5803,6,7,4,33393.9166,991892.3175,PA
75954.81825,4,7,5,34467.7587,1057252.583,CO
52575.81517,7,7,4,41828.57962,1237224.859,RI
63312.80567,6,8,4,43230.35216,1442632.541,MN
82526.9621,6,8,4,43947.68026,1877402.32,OR
73204.94213,7,7,6,35090.50081,1394518.415,SC
56357.19314,6,5,3,38061.9983,953939.3299,MI
71316.62465,7,7,5,21651.69941,1219778.034,FM
75046.8482,5,9,3,32468.03115,1287325.382,AP
84474.16006,7,6,2,38677.81515,1739893.555,NM
68162.68393,7,7,3,31843.87634,1213382.223,NY
62784.33295,8,5,3,35122.38947,1007478.748,WY
67009.81567,7,8,3,39737.12261,1528756.126,MO
67437.25036,7,7,2,29356.22337,1182459.772,LA
65967.76931,7,8,3,35799.96255,1474546.762,MI
42816.30589,8,7,4,47457.66221,1078016.94,PR
83347.6697,5,5,3,48226.71893,1453381.624,AZ
81699.88,5,6,4,39527.04856,1495012.965,OR
56143.78866,5,7,4,45084.03666,714148.4148,GU
59513.83492,5,6,3,44162.27921,894292.0474,AK
78379.41224,6,6,3,31357.38821,1159841.831,TX
70877.37574,7,7,5,36033.42685,1195986.299,AA
61526.97445,7,9,6,27307.94803,1381430.63,CO
65316.99602,7,7,2,55799.49748,1534889.853,NY
76268.81833,7,6,3,38649.85239,1494125.33,WI
48531.36423,7,9,5,39731.15056,1356146.261,AK
82906.6548,6,6,4,38820.48194,1454943.074,AP
63117.84405,5,6,2,43091.84514,774118.1878,MN
75860.86115,4,5,3,41003.88008,889113.2389,KY
68844.76425,5,7,3,48392.49736,1211102.211,AP
52446.26686,6,7,3,32934.5532,658646.1847,VI
69342.70684,6,8,3,37082.37422,1400104.871,CO
55932.05268,7,6,4,42488.31,1262017.792,PA
53306.92214,5,6,2,39063.33871,553077.2126,ME
56976.5464,6,7,3,46375.50249,1203247.89,FM
51296.48863,6,8,6,32078.9068,1115323.015,SC
63995.00489,8,7,5,24748.26827,1301881.417,AE
71915.14669,6,6,4,27714.29366,1006687.387,MA
62137.59721,5,7,5,19045.61951,749383.0726,HI
78050.96983,5,6,4,27789.74852,1075596.587,SC
67371.42086,5,7,4,24797.76476,739870.7936,MT
59362.76638,7,8,3,44723.35373,1442945.145,MH
57003.10964,7,6,3,29594.69337,828497.0671,PW
68989.31221,6,8,6,32629.60383,1373290.861,AA
70969.9021,5,6,3,24833.64615,925566.3313,WV
82251.65301,8,8,6,18408.79864,1552536.764,GA
71306.4573,6,7,2,43284.39716,1335904.501,OR
70921.56857,6,6,3,29390.21727,960808.2911,PA
70739.4601,7,7,6,35148.66775,1405933.019,MI
58097.84182,6,6,3,19903.00008,619087.6936,MO
51273.50885,7,7,2,53811.89491,1329273.228,AA
76326.59232,5,5,3,42779.8313,1261843.844,KY
63584.04588,6,6,4,46340.18858,1175781.418,VI
86340.28729,5,6,3,35630.56045,1437053.557,KY
79471.23882,6,8,6,36616.16883,1594415.226,VT
55879.50379,6,5,2,37360.06356,931357.9954,CA
40503.54133,7,7,3,45979.47754,798639.6542,NH
83394.40783,6,6,2,30487.52462,1451739.625,MA
64501.22645,6,7,5,43869.30998,1278991.689,MS
59569.53734,6,7,4,31294.65246,885920.5532,AZ
69280.31627,7,7,4,40290.91149,1425632.542,AZ
66342.48968,6,7,3,11792.81516,901881.7427,MI
73367.04599,6,9,5,23684.78795,1521730.791,MP
57122.22484,6,6,2,41972.77154,716771.0057,IN
61978.84805,8,8,5,56957.18775,1696717.107,OK
54299.96882,7,7,2,39512.66371,819598.0078,NY
71424.40601,6,9,3,37242.56159,1584213.957,DC
57353.15436,8,6,4,16906.42172,798892.515,MA
44731.1098,4,9,5,39633.47304,601973.0017,MN
76175.49393,5,10,4,30760.99496,1456486.293,DC
66574.70999,6,7,2,69575.44946,1702406.039,TN
91731.15438,5,8,6,33102.09542,1566471.008,AR
75487.0326,6,8,4,41105.39063,1592210.176,GA
58088.43813,6,6,4,51925.41161,937628.3467,AE
76319.2186,7,6,3,48026.30837,1558547.578,CA
60575.16244,6,7,2,32158.9679,1156329.274,IA
69607.13367,7,8,3,34609.04022,1514349.692,ID
67056.84048,5,7,5,25134.68148,1039107.326,WA
60640.93188,5,5,2,43119.54066,809089.6719,CO
69031.90888,6,6,3,15660.40301,675536.3915,ID
80356.20939,5,10,5,16215.41728,1373589.804,IA
60081.17662,7,8,4,60195.74627,1690091.019,AE
61881.47931,7,7,5,35597.37289,1253370.149,MD
59590.96529,7,6,2,24153.88252,774073.5619,GA
89831.31929,5,8,6,45335.36028,1741959.834,WI
72175.2835,7,7,2,50305.79541,1705762.788,HI
67589.04884,6,6,2,33203.38392,1071109.917,NJ
77300.03144,5,7,4,29499.04095,1118047.991,TN
65382.88832,5,8,6,41723.05474,1165253.033,ID
71145.2127,6,7,2,35642.53034,1280910.19,KS
61053.038,6,6,2,40675.77383,841122.8824,NE
65125.94787,6,7,4,37642.78527,1228810.745,DE
51949.2957,6,8,5,35336.06305,1086072.071,LA
75897.98884,5,7,3,34162.67061,1204372.295,MH
71468.3505,6,6,3,43269.03337,1345004.12,CO
53287.99207,6,7,3,45152.01427,1116902.345,MD
61503.0406,5,7,3,37650.86971,822431.7303,OR
68896.04856,6,8,4,28394.60978,1360623.694,MP
91159.41833,7,7,3,54861.0911,2298379.487,AZ
63375.34848,7,8,3,45633.19224,1400498.268,CO
59695.57147,5,6,2,20702.80267,566848.7321,GA
63183.88974,6,8,5,58691.20066,1367586.278,OR
61177.80813,7,7,5,26396.29111,1113373.52,NV
58642.31122,5,6,3,35131.57815,721974.5515,GA
53112.27806,5,6,4,40367.38387,685503.9903,MP
40366.61629,5,8,5,16349.36539,152071.8747,GA
62207.47581,7,7,5,34317.53831,1280431.574,DE
57477.95076,5,7,6,23649.96887,568703.1838,FL
55630.48896,6,9,6,38943.09599,1200764.844,NY
72399.30556,7,8,6,41662.00007,1607161.637,ME
89868.89193,5,7,5,30101.72457,1421715.415,AS
59801.49103,4,5,2,33534.9264,311111.2006,ND
61957.1543,8,7,4,38448.49148,1338044.383,OK
71123.43282,7,6,3,44020.1441,1417870.983,ND
55202.70547,4,8,3,28424.95165,796389.438,AL
79298.12201,7,5,3,15753.26664,1310207.133,CT
65070.56701,7,6,4,24852.56515,994897.7278,AE
68494.98255,7,7,5,13998.57121,1202987.829,MN
55702.20538,6,6,3,40087.79561,768751.9005,MP
57233.60849,8,6,2,37374.91924,1211655.305,LA
85313.88545,6,7,4,23974.43557,1540418.222,WV
60224.65171,5,5,3,42182.86211,712228.4243,ME
73873.81919,7,7,3,33336.32735,1525533.407,ME
63149.48523,7,6,2,37578.84687,1034218.402,RI
58593.79404,5,6,2,39287.5279,874103.6606,AS
73839.87242,6,8,4,47602.51021,1912825.285,UT
75984.83111,7,8,4,42248.68586,1754770.59,TX
82145.36942,7,7,4,25736.09605,1340066.913,FM
69017.1828,6,6,3,55830.75284,1446756.863,TX
75429.17898,7,8,5,36769.24968,1592768.242,OR
69513.53892,4,8,6,14054.05343,660364.9813,CA
57782.41708,5,6,2,33426.84938,861321.5807,AA
74372.13845,7,8,6,34321.96015,1648246.774,VI
63522.12193,6,7,2,31995.52529,977135.8857,OK
61193.71483,8,9,3,33196.05984,1591934.19,ND
60316.79073,4,6,4,33831.89363,695386.331,TN
58469.9122,5,5,2,33547.98482,568977.0728,VT
75179.90299,5,7,5,23978.0933,935590.8043,OK
56186.96329,4,9,5,41855.65474,984311.7745,RI
73225.0663,6,7,2,61830.53972,1796245.808,PR
74338.92771,5,5,4,18057.17178,720080.2321,NJ
52188.11873,6,6,4,42495.75468,783808.4025,DE
83311.10394,7,8,3,30386.36631,1598615.974,NJ
72288.6752,7,8,5,39146.9205,1564125.238,DE
54866.21569,7,7,3,35192.84403,929480.6299,NJ
85759.65776,5,9,6,25897.75802,1414495.343,FL
59453.34204,6,7,6,29697.64481,837668.1026,NH
69878.7742,7,6,4,26814.17475,1197515.454,KY
59243.29763,7,7,4,51405.35248,1232004.83,NV
57853.3302,7,7,4,47688.2266,1285933.408,ID
66643.31463,6,8,4,30971.15711,1361521.983,CO
69248.29959,6,6,2,35990.10339,1090826.374,UT
75129.72116,6,7,3,41620.2893,1475319.699,VT
76209.99531,7,5,4,22721.6494,1066659.383,AS
69342.37657,6,8,3,21641.97286,1117432.98,WY
77630.95508,7,7,2,31739.88912,1420283.559,UT
68929.15807,8,7,3,172.6106863,840272.8649,VT
70990.80491,6,5,2,30904.25303,1024907.94,AE
55860.68084,8,9,5,40335.22028,1494241.226,MP
56380.9884,6,7,4,43994.24411,1125880.487,DC
64306.33882,5,8,4,30762.36021,1082455.018,CO
76547.9567,7,7,3,40564.64489,1554634.995,PA
57101.71705,5,8,6,41104.46662,1011365.365,DE
76192.65604,7,7,6,21245.84162,1432756.517,NE
79585.55223,6,8,4,31773.3374,1612717.553,MH
70759.8558,6,5,4,25981.831,973299.8618,RI
76907.23816,5,6,4,21658.40932,679228.9927,RI
64744.94244,6,8,6,28880.01759,1270999.939,SC
51976.02393,5,7,4,36360.16875,910211.0189,HI
61252.63767,5,7,4,40890.26603,1026271.796,WY
58841.14292,8,7,4,39555.07059,1496729.536,ND
79112.64141,6,8,5,33771.74049,1490539.058,KS
76056.28911,6,8,5,28470.70147,1491838.494,MD
52399.64822,7,9,3,18092.13036,996771.2482,MO
77551.6278,6,5,2,35834.493,1064854.309,NM
64160.81595,6,7,4,32339.00628,985749.7874,WA
71167.03414,7,9,4,35174.87134,1952622.402,ID
84963.66341,7,6,3,40447.01075,1754969.162,IL
59712.82231,6,7,3,42601.84262,1122240.364,AP
77733.73119,6,6,3,32074.57599,1236931.728,NC
85707.07875,4,6,4,10424.41625,966084.4204,MN
70280.36135,5,5,4,39662.74187,852268.6717,AP
69330.74122,7,6,2,30097.83559,1280669.873,KS
72988.70597,6,6,3,50566.6448,1190213.513,VT
65697.82067,6,7,4,28742.12595,1123851.141,FL
76245.21847,8,8,3,32016.23476,1689120.427,ID
53546.87214,7,8,3,45504.20369,1573347.788,OH
73643.0573,7,8,3,43152.13958,1696977.663,IA
84774.45122,7,5,2,32383.55544,1414286.724,AE
58140.94032,5,7,2,49337.53152,755292.1144,NH
61881.16372,6,6,2,21397.4486,714706.4289,MN
75312.25951,5,7,4,9487.921585,944001.5583,SD
81328.8073,6,7,3,31231.5444,1523136.485,MO
77931.47646,7,7,3,23182.60485,1422916.811,AK
84602.59697,7,7,6,39683.438,1945618.658,WA
72445.0333,5,7,2,69553.98833,1726719.067,OH
57497.12815,7,8,5,43204.15762,1051123.833,VT
87266.34023,8,7,5,45161.18768,2249122.541,ND
62431.9381,7,9,4,44115.98342,1523915.145,AR
72107.42807,5,7,3,29981.34654,1039517.534,AP
55577.07175,7,7,3,19560.01241,818057.8953,KY
62327.89441,5,7,4,43364.42819,1115466.585,OR
73931.14266,6,7,2,29568.95886,1258178.804,MH
63429.27469,6,8,3,37998.99693,1435423.708,AE
73423.90295,6,6,3,34711.78242,1153470.44,TN
75175.87311,9,5,2,22367.48207,1425603.495,OK
56636.24613,6,8,5,28139.36846,1048350.692,OR
67665.93963,6,6,3,24758.48906,1214482.379,WY
65986.81794,5,7,2,24056.60447,821859.0657,MA
54273.91488,6,7,4,24233.06146,753652.2718,OH
75547.84162,4,7,6,40043.10216,1220001.334,FL
70151.08661,7,8,5,15255.23776,1075675.108,AA
74449.12174,6,7,3,24837.59073,1396082.352,TN
66919.64032,8,7,6,18867.78162,1137801.933,PW
68473.86312,6,6,2,43146.98202,1159953.593,NV
76113.21733,6,8,5,26481.51177,1487849.876,IN
61212.19548,6,6,4,32045.55987,1103072.439,MH
59768.80592,6,7,3,26202.63146,897291.1153,ME
78847.53637,6,7,3,20653.89831,1214320.574,OR
75735.3429,6,8,5,37268.26997,1364363.375,WY
77847.34897,5,7,3,30231.80829,1249092.928,AP
56231.1618,5,5,2,52657.03375,946479.2349,PW
89163.49859,5,6,2,44016.14744,1659805.184,NV
62377.06447,6,7,4,39075.95638,1285399.565,AL
68864.2823,6,5,4,29802.32138,898281.9025,AR
82440.89576,6,7,5,27545.52954,1483848.169,WY
60948.88088,7,6,2,39754.38814,1353488.416,FM
69729.60586,6,7,5,31719.74264,1268703.811,NV
75491.79999,6,7,6,26013.68048,1448573.845,AP
80648.06571,6,6,3,35091.95553,1343605.8,ND
84036.59865,8,6,4,32766.60197,1511537.745,AA
76590.37671,6,8,3,40643.07833,1662038.759,KS
63534.45596,6,8,3,38128.9837,1166673.195,VT
67269.99554,6,7,6,41780.47369,1375633.373,UT
50887.44007,4,7,4,47731.01076,839638.461,KY
80597.1118,6,8,3,34487.57476,1638265.395,WI
66041.12358,6,8,5,40163.97083,1385400.456,WI
81316.38029,4,7,3,35589.59472,1153233.241,MI
67877.02913,5,8,5,43300.95464,1370178.474,NJ
69306.95842,6,7,2,36851.38401,1181877.183,AR
61200.72618,5,6,4,42789.69222,894251.0686,SD
70619.16697,6,8,5,37865.64855,1421135.815,SC
69910.85188,6,6,4,38440.73729,1028964.474,VT
64889.21934,4,8,3,25904.97991,923508.1257,PA
69900.13396,6,8,6,32679.18766,1599634.465,CO
79045.0398,6,8,5,24721.95904,1369186.07,DC
76460.22067,7,7,4,46851.04219,1748782.809,AZ
58307.72788,6,8,4,25509.06978,1150877.735,NH
56679.01602,5,9,5,40785.0273,1110598.755,AL
58823.05019,6,7,4,38682.56933,1159207.085,NC
80836.34486,6,7,3,49864.46977,1811377.221,AK
67710.11298,6,8,4,25222.46242,1267443.398,CO
70027.64713,7,5,3,40512.81685,1352547.693,FM
36100.44423,6,5,2,44901.85734,599504.0193,AR
67217.48614,5,6,4,23999.75522,717213.2688,SC
63657.27563,6,6,3,36391.92539,1008712.575,CA
71468.2717,5,5,3,36377.83735,1071596.112,NM
62989.5114,7,7,4,36913.35067,1397341.856,UT
69327.2601,6,7,6,31054.77532,1313304.588,DE
94902.23722,6,8,3,41662.08363,2106510.863,TX
79579.20471,5,7,3,31756.40564,1306458.906,AP
73756.11862,5,6,3,59485.06632,1354928.95,AE
65873.93941,7,9,4,39785.62784,1582765.592,MI
52934.43579,6,6,3,46520.69219,847155.0413,MS
82830.59353,6,7,4,32026.91225,1342245.969,KS
73930.83995,5,8,4,42702.40328,1363086.905,PA
58557.13128,5,7,6,54167.34162,1275318.562,NM
51718.35461,8,7,3,49639.17324,1285923.734,MS
69807.72336,7,7,3,51453.26516,1789607.526,CO
79627.62859,5,6,2,31638.85497,1196064.33,AL
97112.36125,6,6,3,51470.06764,1917583.999,NC
74354.23018,7,6,4,30091.11684,1370274.387,DC
72481.02619,6,8,3,45160.10161,1677204.246,CT
73093.48649,6,6,2,41796.12563,1439714.281,OR
51992.74329,7,7,3,21759.50613,1012262.712,MA
66484.04819,5,9,3,51712.14409,1511743.129,SC
81182.15391,5,7,4,34141.18824,1131154.518,ID
79103.94328,4,7,4,25767.8186,764860.4627,DE
75070.26257,7,6,2,44682.75733,1681316.362,PW
44688.56382,5,6,3,25120.99203,291724.2456,MS
73726.17986,4,7,3,28666.77112,1013252.209,CT
64038.99388,4,8,4,54130.97595,1194709.628,AK
69896.51919,6,8,4,38180.82233,1463003.056,NH
73723.45535,7,9,7,24723.27865,1453327.916,AE
79996.61103,6,7,3,28067.63161,1291506.386,AZ
61538.90779,7,7,6,51154.13258,1625508.013,WA
47065.0533,6,7,5,24125.87581,566896.2123,WY
82381.54875,5,8,4,36655.12894,1468513.244,MI
80857.44245,5,9,3,44385.31241,1573105.981,KY
60893.76408,4,8,5,49076.75735,968360.5234,UT
66356.05996,7,7,3,38022.8382,1309985.887,MA
78438.36946,7,5,4,35220.38316,1361219.3,TX
61215.57661,7,9,6,36495.17095,1465120.47,IN
64907.98025,7,8,5,46677.2744,1571464.965,TN
80008.66783,5,9,5,45889.89049,1629098.182,MS
71356.30273,5,7,5,36998.47979,1182335.68,IA
72432.70034,6,6,3,35039.46939,1010813.709,OR
67284.47485,5,6,3,24942.88585,924728.5374,ID
62653.09246,7,8,3,41467.86766,1382110.278,VT
63968.60858,6,9,3,27404.50027,1366727.663,PA
74233.94584,6,7,4,32875.76905,1297849.764,OR
59729.2526,8,7,6,31202.18742,1196687.687,MI
81132.00429,6,7,4,32311.85324,1281113.315,MS
68500.81624,6,7,5,51746.72764,1530729.578,DC
55050.30809,7,7,6,29423.82757,1208664.863,MP
76840.45801,6,7,5,29860.07831,1417275.667,NY
63428.91645,5,7,6,42996.60608,1195601.962,TN
90592.46961,8,10,5,37223.87617,2469065.594,AE
56685.01444,7,8,3,43322.16685,1223100.542,SD
69230.74974,6,5,2,43072.19661,1220276.551,DE
68916.65376,7,6,3,42744.82854,1311765.141,NE
60509.04459,7,9,6,28410.30375,1198313.598,AP
85719.31562,5,6,3,32058.35624,1187609.122,IA
62134.02206,7,7,2,32157.13169,1399662.584,NC
73435.17519,6,9,4,36239.55617,1597776.771,NY
55612.76294,8,7,4,42258.53738,1355022.283,NY
70879.9083,7,8,5,22431.60626,1137059.188,NM
67461.44623,5,8,3,34573.11218,1053815.097,VT
84439.85575,4,8,4,19835.24732,1242421.532,NY
67802.30909,6,8,3,36129.69101,1222041.016,MD
62685.27075,6,7,2,42018.93857,1025461.134,TX
71392.47389,4,8,4,36009.70034,859427.9793,KS
59050.53429,6,7,5,37741.35882,1279803.95,NJ
87895.86521,8,6,4,23876.13221,1671669.452,PW
70276.40492,7,7,3,26630.48373,1525601.791,AP
72640.26405,4,8,4,31470.61746,998773.9973,MO
62894.12724,7,7,4,20317.21375,1012321.574,MT
50846.00806,5,8,3,45357.00431,1252419.196,NE
78688.29319,6,7,6,47812.01849,1869313.107,PR
76397.04314,8,7,3,45281.18657,1800685.922,KS
62162.62813,6,7,6,47747.3639,1393100.423,GU
75090.75512,6,6,4,39456.87209,1166558.374,MO
61801.46537,5,7,5,36326.69694,988175.0074,MN
77429.83343,7,7,4,30108.24133,1540480.613,PA
74388.60126,4,6,3,33763.08394,866142.1839,AL
62566.56264,5,6,2,29365.60761,557362.2043,NH
68894.84507,6,7,4,28851.6014,1033290.975,VT
68738.36521,4,6,3,47445.35917,1084945.4,VT
74277.7199,7,3,3,50233.79031,1365081.178,ND
81280.91056,6,5,4,34933.19629,1239459.815,ID
86305.36514,8,7,4,37854.37345,2056692.768,NC
59302.22958,7,6,3,25296.73583,1045395.329,UT
81385.22312,6,6,2,47897.15663,1679204.741,TN
64115.06377,6,7,5,34312.41251,1158742.83,OR
90436.98217,7,8,6,13340.49243,1647278.685,AA
75940.76389,6,9,5,49974.87944,1702090.635,MP
70102.72634,7,7,3,28280.9992,1379386.383,ND
69950.96252,5,9,4,23733.79424,1358526.741,AZ
65736.34642,6,6,3,32964.01822,991398.8219,PR
53825.01308,6,6,4,27373.15328,957117.6472,HI
86625.48184,7,6,3,42758.66645,1638969.269,DC
69376.19257,5,6,2,18226.17943,714142.2407,AE
68423.02319,6,4,2,13345.56449,760876.0222,PR
68720.92171,5,7,2,45887.34562,1343537.178,AL
70005.85362,5,6,2,40325.17418,1056993.649,ND
66614.62913,6,7,5,16654.26131,1088222.421,AE
58978.22219,7,8,3,44071.60463,1308983.632,NV
